log_y_lote,region
3.180892,"1B"
4.034076,"1B"
1.284217,"1B"
2.239741,"1B"
-.6881756,"1B"
.8702887,"1B"
1.239359,"1B"
1.918725,"1B"
2.857533,"1B"
2.170609,"1B"
.2291415,"1B"
1.613615,"1B"
2.425838,"1B"
1.733578,"1B"
2.579489,"1B"
2.161465,"1B"
1.424197,"1B"
3.215795,"1B"
3.062956,"1B"
.7456685,"1B"
2.803324,"1B"
3.121157,"1B"
2.026463,"1B"
3.296718,"1B"
3.72879,"1B"
3.340633,"1B"
3.884156,"1B"
2.688731,"1B"
4.746922,"1B"
2.647989,"1B"
-.5092835,"1B"
2.919337,"1B"
.1663192,"1B"
-1.248995,"1B"
1.825431,"1B"
4.623079,"1B"
1.993954,"1B"
4.094646,"1B"
4.128292,"1B"
2.902569,"1B"
4.60562,"1B"
4.63368,"1B"
3.346752,"1B"
4.984873,"1B"
4.177512,"1B"
6.70513,"1B"
1.085338,"1B"
2.683983,"1B"
5.040848,"1B"
4.948491,"1B"
1.456594,"1B"
1.791924,"1B"
4.314648,"1B"
4.382901,"1B"
.4942571,"1B"
2.597819,"1B"
5.492465,"1B"
2.130073,"1B"
5.50198,"1B"
4.726183,"1B"
3.518826,"1B"
5.53978,"1B"
3.938673,"1B"
1.758284,"1B"
2.192243,"1B"
3.068146,"1B"
2.072652,"1B"
3.320323,"1B"
3.699409,"1B"
2.872728,"1B"
5.288262,"1B"
1.476802,"1B"
2.276658,"1B"
-.1733277,"1B"
3.245007,"1B"
5.18198,"1B"
1.704357,"1B"
1.515918,"1B"
.3595887,"1B"
3.342607,"1B"
2.805715,"1B"
1.265084,"1B"
4.930805,"1B"
3.068885,"1B"
.3352429,"1B"
1.575378,"1B"
2.878873,"1B"
2.007776,"1B"
1.950497,"1B"
2.605833,"1B"
2.887757,"1B"
3.833049,"1B"
3.372664,"1B"
4.118535,"1B"
3.989386,"1B"
4.688518,"1B"
.6900072,"1B"
3.656849,"1B"
3.055189,"1B"
-.8201672,"1B"
1.092809,"1B"
4.212882,"1B"
4.070376,"1B"
.1436674,"1B"
5.322176,"1B"
6.360774,"1B"
3.258719,"1B"
1.193947,"1B"
2.998693,"1B"
1.62803,"1B"
4.01827,"1B"
2.175614,"1B"
.717791,"1B"
1.977958,"1B"
-2.721424,"1B"
.2897998,"1B"
4.809775,"1B"
3.431306,"1B"
3.715779,"1B"
.4794773,"1B"
3.833599,"1B"
1.758528,"1B"
3.921732,"1B"
4.092294,"1B"
-3.394391,"1B"
2.822925,"1B"
1.63738,"."
2.715204,"1B"
3.260724,"1B"
1.074255,"1B"
1.283201,"1B"
1.987296,"1B"
.3325,"1B"
3.589874,"1B"
4.382755,"1B"
2.595881,"1B"
1.156538,"1B"
3.080184,"1B"
2.957464,"1B"
.7222787,"1B"
2.935653,"1B"
1.967797,"1B"
3.1181,"1B"
5.396623,"1B"
2.382477,"1B"
2.986283,"1B"
1.904341,"1B"
.1692447,"1B"
-1.773741,"1B"
-.1999826,"1B"
2.008819,"1B"
4.148891,"1B"
3.531199,"1B"
.3019547,"1B"
2.611334,"1B"
.314066,"1B"
